fold_energy,seed_match_count,seed_match_full,mirna_au_count,mirna_au_frac,count_matches,frac_matches,len_target_reg,longest_pairing,3p_mirna_match_count,seed_3p_diff,positive
-26.70,4,0,8,0.36363636363636365,18,0.8181818181818182,22,11,6,-2,1
-26.70,4,0,8,0.36363636363636365,18,0.8181818181818182,22,11,6,-2,1
-16.90,1,0,7,0.3333333333333333,10,0.47619047619047616,12,6,3,-2,1
-23.70,6,1,6,0.3,19,0.95,25,19,7,-1,1
-15.00,3,0,8,0.36363636363636365,11,0.5,15,6,3,0,1
-7.00,0,0,10,0.45454545454545453,10,0.45454545454545453,16,5,5,-5,1
-16.60,5,0,10,0.47619047619047616,16,0.7619047619047619,19,6,6,-1,1
-23.90,4,0,13,0.5909090909090909,12,0.5454545454545454,12,12,0,4,1
-8.50,1,0,12,0.5714285714285714,12,0.5714285714285714,17,5,5,-4,1
-8.50,1,0,12,0.5714285714285714,12,0.5714285714285714,17,5,5,-4,1
-8.50,1,0,12,0.5714285714285714,12,0.5714285714285714,17,5,5,-4,1
-7.20,4,0,12,0.5714285714285714,9,0.42857142857142855,12,3,1,3,1
-7.20,4,0,12,0.5714285714285714,9,0.42857142857142855,12,3,1,3,1
-9.10,4,0,13,0.5909090909090909,9,0.4090909090909091,10,4,0,4,1
-4.00,0,0,11,0.5789473684210527,7,0.3684210526315789,9,7,3,-3,1
-4.70,2,0,12,0.6666666666666666,8,0.4444444444444444,12,4,4,-2,1
-15.70,3,0,8,0.36363636363636365,15,0.6818181818181818,21,8,7,-4,1
-19.40,2,0,9,0.42857142857142855,12,0.5714285714285714,12,7,6,-4,1
-11.50,4,0,7,0.3333333333333333,7,0.3333333333333333,8,6,0,4,1
-20.70,5,0,9,0.4090909090909091,15,0.6818181818181818,16,5,4,1,1
-21.90,3,0,8,0.4444444444444444,13,0.7222222222222222,14,13,6,-3,1
-9.40,4,0,13,0.5909090909090909,13,0.5909090909090909,14,8,5,-1,1
-8.30,6,1,10,0.45454545454545453,13,0.5909090909090909,23,8,0,6,1
-9.70,0,0,11,0.5,10,0.45454545454545453,12,7,7,-7,1
-4.60,0,0,11,0.5,7,0.3181818181818182,9,6,3,-3,1
-1.10,0,0,11,0.5,3,0.13636363636363635,3,3,0,0,1
-3.70,5,0,9,0.5,9,0.5,12,7,2,3,1
-4.60,5,0,12,0.5217391304347826,14,0.6086956521739131,22,7,4,1,1
-8.10,0,0,8,0.36363636363636365,7,0.3181818181818182,7,7,0,0,1
-24.70,6,1,13,0.5909090909090909,15,0.6818181818181818,16,15,0,6,1
-9.40,4,0,13,0.5909090909090909,13,0.5909090909090909,14,8,5,-1,1
-27.40,6,1,8,0.36363636363636365,20,0.9090909090909091,21,14,6,0,1
